p31,label,categorie,statut,nb_total,nb_crossReference
Q484170,commune française,,non_defini,311,36
Q16970,église,,non_defini,136,10
Q178561,bataille,,non_defini,51,45
Q23413,château fort,,non_defini,32,1
Q751876,château,,non_defini,25,2
Q188055,siège militaire,,non_defini,19,18
Q79007,rue,,non_defini,18,2
Q56242215,cathédrale catholique,,non_defini,14,2
Q174782,place,,non_defini,12,1
Q108325,chapelle,,non_defini,10,2
Q160742,abbaye,,non_defini,8,1
Q860861,sculpture,,non_defini,7,0
Q207694,musée d'art,,non_defini,6,0
Q120560,basilique mineure,,non_defini,5,0
Q33506,musée,,non_defini,5,3
Q6465,département français,,non_defini,5,3
Q123705,quartier,,non_defini,4,0
Q1365179,hôtel particulier,,non_defini,4,0
Q179700,statue,,non_defini,4,1
Q3947,maison,,non_defini,4,1
Q39614,cimetière,,non_defini,4,0
Q1261499,bataille navale,,non_defini,3,3
Q20860083,établissement scolaire,,non_defini,3,1
Q2511322,lycée,,non_defini,3,0
Q2750108,prieuré,,non_defini,3,1
Q3397526,pont en maçonnerie,,non_defini,3,0
Q83620,voie de communication,,non_defini,3,0
Q12139612,liste,,non_defini,2,0
Q13226383,équipement,,non_defini,2,0
Q209495,province de France,,non_defini,2,1
Q22698,parc,,non_defini,2,0
Q252916,quartier administratif de Paris,,non_defini,2,0
Q3914,école,,non_defini,2,0
Q4421,forêt,,non_defini,2,0
Q572995,région naturelle de France,,non_defini,2,1
Q7543083,avenue,,non_defini,2,0
Q815448,beffroi,,non_defini,2,0
Q879050,manoir,,non_defini,2,0
Q1088552,église catholique,,non_defini,1,0
Q1107656,jardin,,non_defini,1,0
Q1139665,assassinat politique,,non_defini,1,0
Q11755959,immeuble,,non_defini,1,0
Q1190554,occurrence,,non_defini,1,0
Q12104174,musée ethnographique,,non_defini,1,0
Q12518,tour,,non_defini,1,0
Q12731,impasse,,non_defini,1,0
Q130192067,cérémonie d'ouverture des Jeux olympiques,,non_defini,1,0
Q131569,traité,,non_defini,1,1
Q131734,brasserie,,non_defini,1,0
Q133056,col routier,,non_defini,1,0
Q13406463,page de liste de Wikimédia,,non_defini,1,0
Q1371288,État vassal,,non_defini,1,1
Q1408475,maison forte,,non_defini,1,0
Q1444,orgue,,non_defini,1,0
Q1509716,collégiale,,non_defini,1,0
Q1523545,logis seigneurial,,non_defini,1,0
Q15548045,aumônerie,,non_defini,1,0
Q15640053,réseau de tramway,,non_defini,1,0
Q15661340,ville antique,,non_defini,1,0
Q15823129,chartreuse,,non_defini,1,0
Q1620908,région historique,,non_defini,1,0
Q162602,île fluviale,,non_defini,1,0
Q162875,mausolée,,non_defini,1,1
Q163740,organisation à but non lucratif,,non_defini,1,0
Q16560,palais,,non_defini,1,0
Q167346,jardin botanique,,non_defini,1,0
Q17524420,aspect de l'histoire,,non_defini,1,0
Q18340550,chronologie de Wikimédia,,non_defini,1,0
Q186117,frise chronologique,,non_defini,1,0
Q18615527,pont tramway,,non_defini,1,1
Q188040,carrière,,non_defini,1,0
Q1970725,région naturelle,,non_defini,1,1
Q19951362,nécropole nationale en France,,non_defini,1,0
Q2026833,square,,non_defini,1,0
Q21869758,commune déléguée,,non_defini,1,0
Q2196917,chapelle d'église,,non_defini,1,0
Q22746,jardin public,,non_defini,1,0
Q2416723,parc à thèmes,,non_defini,1,1
Q24354,théâtre,,non_defini,1,0
Q255595,ossuaire,,non_defini,1,0
Q2772772,musée militaire,,non_defini,1,0
Q2860456,archives départementales,,non_defini,1,0
Q2977,cathédrale,,non_defini,1,0
Q2997893,Correrie,,non_defini,1,0
Q3024240,État historique,,non_defini,1,1
Q3068953,ferme fortifiée,,non_defini,1,1
Q317557,église paroissiale,,non_defini,1,0
Q3305213,peinture,,non_defini,1,0
Q3502482,région culturelle,,non_defini,1,1
Q3551775,université en France,,non_defini,1,0
Q3624078,État souverain,,non_defini,1,1
Q36784,région française,,non_defini,1,0
Q38720,moulin à vent,,non_defini,1,0
Q39594,baie,,non_defini,1,1
Q39715,phare,,non_defini,1,0
Q4022,rivière,,non_defini,1,0
Q41253,salle de cinéma,,non_defini,1,0
Q44782,port,,non_defini,1,0
Q483110,stade,,non_defini,1,0
Q483453,fontaine,,non_defini,1,0
Q4989906,monument,,non_defini,1,0
Q5383482,palais épiscopal,,non_defini,1,0
Q55177716,jardin public,,non_defini,1,0
Q55488,gare ferroviaire,,non_defini,1,0
Q575759,monument aux morts,,non_defini,1,0
Q625298,traité de paix,,non_defini,1,1
Q667018,musée de cire,,non_defini,1,0
Q68800046,catastrophe industrielle,,non_defini,1,0
Q811534,arbre remarquable,,non_defini,1,0
Q8124,pénis humain,,non_defini,1,1
Q82117,porte de ville,,non_defini,1,0
Q840482,sanctuaire marial,,non_defini,1,0
Q8502,montagne,,non_defini,1,0
Q91165,donjon,,non_defini,1,1
Q928830,station de métro,,non_defini,1,0
,,,non_defini,0,0
