p31;label;nb_total;nb_crossReference;statut;categorie
Q484170;commune française;311;36;garde;Commune
Q16970;église;136;10;garde;Édifice religieux
Q178561;bataille;51;45;garde;Bataille / Conflit
Q23413;château fort;32;1;garde;Château / Manoir / Fortification
Q751876;château;25;2;garde;Château / Manoir / Fortification
Q188055;siège militaire;19;18;garde;Bataille / Conflit
Q79007;rue;18;2;exclu;Infrastructure moderne
Q56242215;cathédrale catholique;14;2;garde;Édifice religieux
Q174782;place;12;1;exclu;À catégoriser
Q108325;chapelle;10;2;garde;Édifice religieux
Q160742;abbaye;8;1;exclu;Lieu religieux secondaire
Q860861;sculpture;7;0;garde;Monument / Sculpture
Q207694;musée d'art;6;0;exclu;À catégoriser
Q120560;basilique mineure;5;0;exclu;À catégoriser
Q33506;musée;5;3;exclu;Loisir / Tourisme
Q6465;département français;5;3;exclu;À catégoriser
Q123705;quartier;4;0;exclu;À catégoriser
Q1365179;hôtel particulier;4;0;exclu;À catégoriser
Q179700;statue;4;1;garde;Monument / Sculpture
Q3947;maison;4;1;garde;Habitation / Bâtiment civil
Q39614;cimetière;4;0;exclu;À catégoriser
Q1261499;bataille navale;3;3;garde;Bataille / Conflit
Q20860083;établissement scolaire;3;1;exclu;À catégoriser
Q2511322;lycée;3;0;exclu;Établissement éducatif
Q2750108;prieuré;3;1;garde;Édifice religieux
Q3397526;pont en maçonnerie;3;0;exclu;Infrastructure moderne
Q83620;voie de communication;3;0;exclu;À catégoriser
Q12139612;liste;2;0;exclu;Données encyclopédiques
Q13226383;équipement;2;0;exclu;À catégoriser
Q209495;province de France;2;1;exclu;Territoire / Région
Q22698;parc;2;0;exclu;À catégoriser
Q252916;quartier administratif de Paris;2;0;exclu;À catégoriser
Q3914;école;2;0;exclu;Établissement éducatif
Q4421;forêt;2;0;garde;Forêt / Nature
Q572995;région naturelle de France;2;1;exclu;Territoire / Région
Q7543083;avenue;2;0;exclu;Infrastructure moderne
Q815448;beffroi;2;0;garde;Château / Manoir / Fortification
Q879050;manoir;2;0;garde;Château / Manoir / Fortification
Q1088552;église catholique;1;0;garde;Édifice religieux
Q1107656;jardin;1;0;exclu;À catégoriser
Q1139665;assassinat politique;1;0;exclu;À catégoriser
Q11755959;immeuble;1;0;exclu;À catégoriser
Q1190554;occurrence;1;0;exclu;À catégoriser
Q12104174;musée ethnographique;1;0;exclu;À catégoriser
Q12518;tour;1;0;garde;Habitation / Bâtiment civil
Q12731;impasse;1;0;exclu;Infrastructure moderne
Q130192067;cérémonie d'ouverture des Jeux olympiques;1;0;exclu;À catégoriser
Q131569;traité;1;1;garde;Traités / Documents historiques
